model,category,series,page,max_video_resolution,sensor_lens_fov,sensor_fov,horizontal_fov,image_sensor,lens,min_illumination_lux,max_fps,optical_zoom,pan_tilt,pan_tilt_zoom,rs485_rs422_ptz_control,sensitivity,detection_range,object_temperature_range,audio_builtin_mic,audio_support,builtin_mic,compute_capabilities,included_video_analytics,analytics,power,io_ports,operating_temperature,approvals,certifications,outdoor_ready,wdr_lightfinder,zipstream_codec_support,optimizedir_builtin_ir,secure_boot_signed_video_keystore,secure_boot_keystore,sustainability,highlighted_features,voice_announcements,onboard_audio_clips,max_sound_pressure_level,frequency_response,coverage_pattern,other
AXIS Q1728-LE,Box cameras,AXIS Q17 Series,8,3840x2160 (8.3 MP),"13 mm: 1/1.2”, 5.9 - 13.3 mm F1.6 - 2.9, 108°- 49° 48 mm: 1/1.2”, 15.2 - 48.7 mm F1.7, 42°- 13°",,,,,13 mm: 0.05/0.00 48 mm: 0.05/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/NEMA 4X, IK10, IP67",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 42% bio-plastics 4% recycled plastics",Edge-to-edge technology Shock detection Built-in wiper Electronic image stabilization,,,,,,
AXIS Q1728,Box cameras,AXIS Q17 Series,8,3840x2160 (8.3 MP),"13 mm: 1/1.2”, 5.9 - 13.3 mm F1.6 - 2.9, 108°- 49° 48 mm: 1/1.2”, 15.2 - 48.7 mm F1.7, 42°- 13°",,,,,13 mm: 0.05/0.01 48 mm: 0.05/0.01,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 3, DC",4,-10 °C to 60 °C (14 °F to 140 °F),-,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,- / -,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 13 mm: 35% recycled plastics 48 mm: 42% recycled plastics","Edge-to-edge technology Shock detection, HDMI Electronic image stabilization",,,,,,
AXIS Q1726-LE,Box cameras,AXIS Q17 Series,8,2688x1512 (4 MP),"1/1.8”, 4.7 - 10 mm F1.1 - 1.2, 101.8°- 44°",,,,,0.01/0.00,100/120,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),"IP66/NEMA 4X, IK10, IP67",,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,√ / √,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 42% bio-plastics 3% recycled plastics",Edge-to-edge technology Shock detection Built-in wiper Electronic image stabilization,,,,,,
AXIS Q1726,Box cameras,AXIS Q17 Series,8,2688x1512 (4 MP),"1/1.8”, 4.7 - 10 mm F1.1 - 1.2, 101.8°- 44°",,,,,0.01/0.002,100/120,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 3, DC",4,-10 °C to 60 °C (14 °F to 140 °F),-,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / √,- / -,√ / √ / FIPS 140-3 Level 3,,"PVC free, BFR/CFR free 28% bio-plastics 15% recycled plastics","Edge-to-edge technology Shock detection, HDMI Electronic image stabilization",,,,,,
AXIS Q1715,Box cameras,AXIS Q17 Series,8,1920x1080 (2.1 MP),"1/2.8” 4 - 84.6 mm, F1.6 - F4.5 76° - 3.6°",,,,,0.1/0.02,50/60 100/120 without WDR,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,"PoE Class 3/4, DC",4,-20 °C to 50 °C (-4 °F to 122 °F),-,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free","Edge-to-edge technology Shock detection HDMI, HD-SDI, I2C Electronic image stabilization",,,,,,
AXIS Q1686-DLE,Box cameras,AXIS Q16 Series,10,2688x1512 (4 MP),"1/1.8'', i-CS lens Varifocal, 9 - 50 mm, F1.5 46°- 9°",,,,,0.05/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection Active tampering alarm AXIS Scene Metadata,,"PoE Class 4, DC",4,-40°C to 60 °C (-40 °F to 140 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 5% bio-plastics",Electronic image stabilization Shock detection Augmented overlay (radar) Built-in license plate cature assistant License plate capture up to 200 km/h Measure speed and capture License plate per vehicle (only ALPV supported),,,,,,
AXIS Q1656-DLE,Box cameras,AXIS Q16 Series,10,2688x1512 (4 MP),"1/1.8'', i-CS lens 3.9 -10 mm, F1.5 96° - 44°",,,,,0.05/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 6% bio-plastics",Electronic image stabilization Shock detection Augmented overlay (radar) Edge-to-edge technology Picture-in-picture,,,,,,
AXIS Q1656,Box cameras,AXIS Q16 Series,10,2688x1512 (4 MP),"1/1.8”, i-CS lens 3.9 - 10 mm, F1.5 120° - 47°",,,,,0.05/0.01,50/60,,,,,,,,√ / √,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 3, DC",4,-20 °C to 60 °C (-4°F to 140°F),-,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 4% bio-plastics",Electronic image stabilization Shock detection Edge-to-edge technology,,,,,,
AXIS Q1656-B,Box cameras,AXIS Q16 Series,10,2688x1512 (4 MP),"1/1.8”, -, -",,,,,- / -,50/60,,,,,,,,√ / √,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Scene Metadata,,"PoE Class 3, DC",4,-20 °C to 60 °C (-4°F to 140°F),-,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,- / -,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 4% bio-plastics",Electronic image stabilization Shock detection Edge-to-edge technology,,,,,,
AXIS Q1656-LE,Box cameras,AXIS Q16 Series,10,2688x1512 (4 MP),"1/1.8”, i-CS lens 3.9 - 10 mm, F1.5 113° - 47°",,,,,0.05/0.00,50/60,,,,,,,,√ / -,,,Deep learning processing unit,AXIS Object Analytics Audio detection AXIS Video Motion Detection AXIS Image Health Analytics AXIS Live Privacy Shield AXIS Scene Metadata,,"PoE Class 4, DC",4,-40 °C to 60 °C (-40 °F to 140 °F),IP66/IP67/NEMA 4X,,,Forensic WDR/Lightfinder 2.0,√ / √ / √ / -,√ / √,√ / √ / FIPS 140-2 Level 2,,"PVC free, BFR/CFR free 7% bio-plastics 2% recycled plastics",Electronic image stabilization Shock detection Built-in wiper Edge-to-edge technology white LED,,,,,,
