[1/141] TNB-9000: 7680x4320 (33.18MP) ch=1
[2/141] TNO-A26081: 6240x4160 (25.96MP) ch=1
[3/141] PNB-A9082: 3840x2160 (8.29MP) ch=1
[4/141] PNB-A9092: 3840x2160 (8.29MP) ch=1
[5/141] PND-A9081RF: 3840x2160 (8.29MP) ch=1
[6/141] PND-A9081RV: 3840x2160 (8.29MP) ch=1
[7/141] PND-A9081RVX: 3840x2160 (8.29MP) ch=1
[8/141] PND-A9082RV: 3840x2160 (8.29MP) ch=1
[9/141] PNM-9031RV: 6720x2240 (15.05MP) ch=1
[10/141] PNM-A13022RV: 5120x2592 (13.27MP) ch=1
[11/141] PNM-C9022RV: 5120x1568 (8.03MP) ch=1
[12/141] PNO-A9081R: 3840x2160 (8.29MP) ch=1
[13/141] PNO-A9082R: 3840x2160 (8.29MP) ch=1
[14/141] PNO-A9092R: 3840x2160 (8.29MP) ch=1
[15/141] PNO-A9311R: 3840x2160 (8.29MP) ch=1
[16/141] PNV-A9081R: 3840x2160 (8.29MP) ch=1
[17/141] PNV-A9081RX: 3840x2160 (8.29MP) ch=1
[18/141] PNV-A9082RZ: 3840x2160 (8.29MP) ch=1
[19/141] QNF-C9010: 3584x2688 (9.63MP) ch=1
[20/141] QNF-C9010V: 3584x2688 (9.63MP) ch=1
[21/141] QNO-C9083R: 3840x2160 (8.29MP) ch=1
[22/141] QNV-C9011R: 3840x2160 (8.29MP) ch=1
[23/141] TNP-A9430RW: 3840x2160 (8.29MP) ch=1
[24/141] TNS-9040IBC: FAIL no Resolution spec row
[25/141] TNS-9050IBC: FAIL no Resolution spec row
[26/141] TNS-9060IBC: FAIL no Resolution spec row
[27/141] XNB-A9004: 3840x2160 (8.29MP) ch=1
[28/141] XND-9082RF: 3840x2160 (8.29MP) ch=1
[29/141] XND-9082RV: 3840x2160 (8.29MP) ch=1
[30/141] XND-9083RV: 3840x2160 (8.29MP) ch=1
[31/141] XND-A9084RV: 3840x2160 (8.29MP) ch=1
[32/141] XND-A9085RV: 3840x2160 (8.29MP) ch=1
[33/141] XND-C9083RV: 3840x2160 (8.29MP) ch=1
[34/141] XNF-9010RS: 3840x2160 (8.29MP) ch=1
[35/141] XNF-9010RVM: 3584x2688 (9.63MP) ch=1
[36/141] XNF-9013RV: 3584x2688 (9.63MP) ch=1
[37/141] XNF-A9014R: 3584x2688 (9.63MP) ch=1
[38/141] XNF-A9014RV: 3584x2688 (9.63MP) ch=1
[39/141] XNO-9082R: 3840x2160 (8.29MP) ch=1
[40/141] XNP-9300RW: 3840x2160 (8.29MP) ch=1
[41/141] XNP-C9253: 3840x2160 (8.29MP) ch=1
[42/141] XNP-C9253R: 3840x2160 (8.29MP) ch=1
[43/141] XNP-C9303RW: 3840x2160 (8.29MP) ch=1
[44/141] XNP-C9310R: 3840x2160 (8.29MP) ch=1
[45/141] XNV-9082R: 3840x2160 (8.29MP) ch=1
[46/141] XNV-9083RZ: 3840x2160 (8.29MP) ch=1
[47/141] XNV-A9016R: 3840x2160 (8.29MP) ch=1
[48/141] XNV-A9084RS: 3840x2160 (8.29MP) ch=1
[49/141] XNV-A9085R: 3840x2160 (8.29MP) ch=1
[50/141] XND-8082RF: 3328x1872 (6.23MP) ch=1
[51/141] XND-8082RV: 3328x1872 (6.23MP) ch=1
[52/141] XND-8083RV: 3328x1872 (6.23MP) ch=1
[53/141] XND-8083RVX: 3328x1872 (6.23MP) ch=1
[54/141] XND-8093RV: 3328x1872 (6.23MP) ch=1
[55/141] XND-C8083RV: 3328x1872 (6.23MP) ch=1
[56/141] XNF-A8014R: 2560x2560 (6.55MP) ch=1
[57/141] XNF-A8014RV: 2560x2560 (6.55MP) ch=1
[58/141] XNO-8083R: 3328x1872 (6.23MP) ch=1
[59/141] XNO-C8083R: 3328x1872 (6.23MP) ch=1
[60/141] XNP-C8253: 3328x1872 (6.23MP) ch=1
[61/141] XNP-C8253R: 3328x1872 (6.23MP) ch=1
[62/141] XNP-C8303RW: 3328x1872 (6.23MP) ch=1
[63/141] XNV-8082R: 3328x1872 (6.23MP) ch=1
[64/141] XNV-8083RX: 3328x1872 (6.23MP) ch=1
[65/141] XNV-8083RZ: 3328x1872 (6.23MP) ch=1
[66/141] XNV-8093R: 3328x1872 (6.23MP) ch=1
[67/141] XNV-C8083R: 3328x1872 (6.23MP) ch=1
[68/141] QND-8010R: 2592x1944 (5.04MP) ch=1
[69/141] QND-8011: 2592x1944 (5.04MP) ch=1
[70/141] QND-8020R: 2592x1944 (5.04MP) ch=1
[71/141] QND-8021: 2592x1944 (5.04MP) ch=1
[72/141] QND-C8013R: 2592x1944 (5.04MP) ch=1
[73/141] QND-C8023R: 2592x1944 (5.04MP) ch=1
[74/141] QNE-8011R: 2592x1944 (5.04MP) ch=1
[75/141] QNE-C8013RL: 2592x1944 (5.04MP) ch=1
[76/141] QNE-C9013RL: 3840x2160 (8.29MP) ch=1
[77/141] QNF-8010: 2048x2048 (4.19MP) ch=1
[78/141] QNO-8010R: 2592x1944 (5.04MP) ch=1
[79/141] QNO-8020R: 2592x1944 (5.04MP) ch=1
[80/141] QNO-C8083R: 2592x1944 (5.04MP) ch=1
[81/141] QNV-8010R: 2592x1944 (5.04MP) ch=1
[82/141] QNV-8020R: 2592x1944 (5.04MP) ch=1
[83/141] QNV-C8011R: 2592x1944 (5.04MP) ch=1
[84/141] QNV-C8012: 2592x1944 (5.04MP) ch=1
[85/141] QNV-C8083R: 2592x1944 (5.04MP) ch=1
[86/141] TNV-C8011RW: 2592x1944 (5.04MP) ch=1
[87/141] TNV-C8014RM: 2592x1944 (5.04MP) ch=1
[88/141] TNV-C8034RM: 2592x1944 (5.04MP) ch=1
[89/141] XNB-A8004: 2560x1920 (4.92MP) ch=1
[90/141] XND-8020F: 2560x1920 (4.92MP) ch=1
[91/141] XND-8020R: 2560x1920 (4.92MP) ch=1
[92/141] XND-8030R: 2560x1920 (4.92MP) ch=1
[93/141] XND-8040R: 2560x1920 (4.92MP) ch=1
[94/141] XND-8080RV: 2560x1920 (4.92MP) ch=1
[95/141] XND-8081REV: 2560x1920 (4.92MP) ch=1
[96/141] XND-A8084RV: 2560x1920 (4.92MP) ch=1
[97/141] XND-A8085RV: 2560x1920 (4.92MP) ch=1
[98/141] XNF-8010R: 2048x2048 (4.19MP) ch=1
[99/141] XNF-8010RV: 2048x2048 (4.19MP) ch=1
[100/141] XNF-8010RVM: 2048x2048 (4.19MP) ch=1
[101/141] XNF-8010RW: 2048x2048 (4.19MP) ch=1
[102/141] XNO-8020R: 2560x1920 (4.92MP) ch=1
[103/141] XNO-8030R: 2560x1920 (4.92MP) ch=1
[104/141] XNO-8040R: 2560x1920 (4.92MP) ch=1
[105/141] XNO-8080R: 2560x1920 (4.92MP) ch=1
[106/141] XNV-8020R: 2560x1920 (4.92MP) ch=1
[107/141] XNV-8030R: 2560x1920 (4.92MP) ch=1
[108/141] XNV-8040R: 2560x1920 (4.92MP) ch=1
[109/141] XNV-8080R: 2560x1920 (4.92MP) ch=1
[110/141] XNV-8080RSA: 2560x1920 (4.92MP) ch=1
[111/141] XNV-8081R: 2560x1920 (4.92MP) ch=1
[112/141] XNV-8081RE: 2560x1920 (4.92MP) ch=1
[113/141] XNV-A8016R: 2560x1920 (4.92MP) ch=1
[114/141] XNV-A8084RS: FAIL no Resolution spec row
[115/141] XNV-A8085R: 2560x1920 (4.92MP) ch=1
[116/141] ANE-L7012L: 2560x1440 (3.69MP) ch=1
[117/141] ANE-L7012R: 2560x1440 (3.69MP) ch=1
[118/141] ANO-L7012R: 2560x1440 (3.69MP) ch=1
[119/141] ANO-L7022R: 2560x1440 (3.69MP) ch=1
[120/141] ANO-L7082R: FAIL no Resolution spec row
[121/141] ANV-L7012R: 2560x1440 (3.69MP) ch=1
[122/141] ANV-L7082R: 2560x1440 (3.69MP) ch=1
[123/141] PND-A7082RV: 2592x1520 (3.94MP) ch=1
[124/141] PNO-A7082R: 2592x1520 (3.94MP) ch=1
[125/141] PNV-A7082RZ: 2592x1520 (3.94MP) ch=1
[126/141] QND-7012R: 2560x1440 (3.69MP) ch=1
[127/141] QND-7022R: 2560x1440 (3.69MP) ch=1
[128/141] QND-7032R: 2560x1440 (3.69MP) ch=1
[129/141] QND-7082R: 2560x1440 (3.69MP) ch=1
[130/141] QNO-7012R: 2560x1440 (3.69MP) ch=1
[131/141] QNO-7022R: 2560x1440 (3.69MP) ch=1
[132/141] QNO-7032R: 2560x1440 (3.69MP) ch=1
[133/141] QNO-7082R: 2560x1440 (3.69MP) ch=1
[134/141] QNV-7012R: 2560x1440 (3.69MP) ch=1
[135/141] QNV-7022R: 2560x1440 (3.69MP) ch=1
[136/141] QNV-7032R: 2560x1440 (3.69MP) ch=1
[137/141] QNV-7082R: 2560x1440 (3.69MP) ch=1
[138/141] TNP-A7430RW: 2592x1520 (3.94MP) ch=1
[139/141] XND-C7083RV: 2592x1520 (3.94MP) ch=1
[140/141] XNP-C7310R: 2592x1520 (3.94MP) ch=1
[141/141] TNS-7000M: 2048x1536 (3.15MP) ch=1

wrote _specs.json
