# calculator golden matrix — cameras=100 per row; units = recommended
# unit count for VX5-V600-320 alone (VSR floor 1.1; no storage floor —
# storageGb already carries the utilization buffer and the binary charge).
# storageGb = required decimal RAID-net at the 88% default Max disk utilization.
# recordedStorageGb = modeled video over the row's retention, no buffer, no
# binary charge. The separate rawStorageGb column is gone: ADR 0131 removed the
# +5% audio/metadata term that was the only difference between the two.
# bitrateMbps / bandwidthMbps are DECIMAL and at the event peak (duty cycle 1.0).
# ret = the row's own per-group retention in days (ADR 0132).
# resIdx = index into RESOLUTIONS; cxIdx = index into COMPLEXITIES.
resIdx,fps,codec,cxIdx,motion,ret,rec,frameKb,bitrateMbps,bandwidthMbps,recordedStorageGb,storageGb,units
0,5,h265,0,0,7,100,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,7,50,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,30,100,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,30,50,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,60,100,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,60,50,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,90,100,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,0,90,50,0.3333198,0.01523818,1.523818,0.000000,0.000000,1
0,5,h265,0,25,7,100,0.3333198,0.01523818,1.523818,28.80016,36.64479,1
0,5,h265,0,25,7,50,0.3333198,0.01523818,1.523818,14.40008,18.32239,1
0,5,h265,0,25,30,100,0.3333198,0.01523818,1.523818,123.4293,157.0491,1
0,5,h265,0,25,30,50,0.3333198,0.01523818,1.523818,61.71464,78.52454,1
0,5,h265,0,25,60,100,0.3333198,0.01523818,1.523818,246.8585,314.0982,1
0,5,h265,0,25,60,50,0.3333198,0.01523818,1.523818,123.4293,157.0491,1
0,5,h265,0,25,90,100,0.3333198,0.01523818,1.523818,370.2878,471.1472,1
0,5,h265,0,25,90,50,0.3333198,0.01523818,1.523818,185.1439,235.5736,1
0,5,h265,0,50,7,100,0.3333198,0.01523818,1.523818,57.60033,73.28957,1
0,5,h265,0,50,7,50,0.3333198,0.01523818,1.523818,28.80016,36.64479,1
0,5,h265,0,50,30,100,0.3333198,0.01523818,1.523818,246.8585,314.0982,1
0,5,h265,0,50,30,50,0.3333198,0.01523818,1.523818,123.4293,157.0491,1
0,5,h265,0,50,60,100,0.3333198,0.01523818,1.523818,493.7171,628.1963,1
0,5,h265,0,50,60,50,0.3333198,0.01523818,1.523818,246.8585,314.0982,1
0,5,h265,0,50,90,100,0.3333198,0.01523818,1.523818,740.5756,942.2945,1
0,5,h265,0,50,90,50,0.3333198,0.01523818,1.523818,370.2878,471.1472,1
0,5,h265,0,75,7,100,0.3333198,0.01523818,1.523818,86.40049,109.9344,1
0,5,h265,0,75,7,50,0.3333198,0.01523818,1.523818,43.20025,54.96718,1
0,5,h265,0,75,30,100,0.3333198,0.01523818,1.523818,370.2878,471.1472,1
0,5,h265,0,75,30,50,0.3333198,0.01523818,1.523818,185.1439,235.5736,1
0,5,h265,0,75,60,100,0.3333198,0.01523818,1.523818,740.5756,942.2945,1
0,5,h265,0,75,60,50,0.3333198,0.01523818,1.523818,370.2878,471.1472,1
0,5,h265,0,75,90,100,0.3333198,0.01523818,1.523818,1110.863,1413.442,1
0,5,h265,0,75,90,50,0.3333198,0.01523818,1.523818,555.4317,706.7209,1
0,5,h265,0,100,7,100,0.3333198,0.01523818,1.523818,115.2007,146.5791,1
0,5,h265,0,100,7,50,0.3333198,0.01523818,1.523818,57.60033,73.28957,1
0,5,h265,0,100,30,100,0.3333198,0.01523818,1.523818,493.7171,628.1963,1
0,5,h265,0,100,30,50,0.3333198,0.01523818,1.523818,246.8585,314.0982,1
0,5,h265,0,100,60,100,0.3333198,0.01523818,1.523818,987.4342,1256.393,1
0,5,h265,0,100,60,50,0.3333198,0.01523818,1.523818,493.7171,628.1963,1
0,5,h265,0,100,90,100,0.3333198,0.01523818,1.523818,1481.151,1884.589,1
0,5,h265,0,100,90,50,0.3333198,0.01523818,1.523818,740.5756,942.2945,1
0,5,h265,1,0,7,100,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,7,50,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,30,100,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,30,50,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,60,100,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,60,50,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,90,100,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,0,90,50,0.4999797,0.02285727,2.285727,0.000000,0.000000,1
0,5,h265,1,25,7,100,0.4999797,0.02285727,2.285727,43.20025,54.96718,1
0,5,h265,1,25,7,50,0.4999797,0.02285727,2.285727,21.60012,27.48359,1
0,5,h265,1,25,30,100,0.4999797,0.02285727,2.285727,185.1439,235.5736,1
0,5,h265,1,25,30,50,0.4999797,0.02285727,2.285727,92.57195,117.7868,1
0,5,h265,1,25,60,100,0.4999797,0.02285727,2.285727,370.2878,471.1472,1
0,5,h265,1,25,60,50,0.4999797,0.02285727,2.285727,185.1439,235.5736,1
0,5,h265,1,25,90,100,0.4999797,0.02285727,2.285727,555.4317,706.7209,1
0,5,h265,1,25,90,50,0.4999797,0.02285727,2.285727,277.7159,353.3604,1
0,5,h265,1,50,7,100,0.4999797,0.02285727,2.285727,86.40049,109.9344,1
0,5,h265,1,50,7,50,0.4999797,0.02285727,2.285727,43.20025,54.96718,1
0,5,h265,1,50,30,100,0.4999797,0.02285727,2.285727,370.2878,471.1472,1
0,5,h265,1,50,30,50,0.4999797,0.02285727,2.285727,185.1439,235.5736,1
0,5,h265,1,50,60,100,0.4999797,0.02285727,2.285727,740.5756,942.2945,1
0,5,h265,1,50,60,50,0.4999797,0.02285727,2.285727,370.2878,471.1472,1
0,5,h265,1,50,90,100,0.4999797,0.02285727,2.285727,1110.863,1413.442,1
0,5,h265,1,50,90,50,0.4999797,0.02285727,2.285727,555.4317,706.7209,1
0,5,h265,1,75,7,100,0.4999797,0.02285727,2.285727,129.6007,164.9015,1
0,5,h265,1,75,7,50,0.4999797,0.02285727,2.285727,64.80037,82.45077,1
0,5,h265,1,75,30,100,0.4999797,0.02285727,2.285727,555.4317,706.7209,1
0,5,h265,1,75,30,50,0.4999797,0.02285727,2.285727,277.7159,353.3604,1
0,5,h265,1,75,60,100,0.4999797,0.02285727,2.285727,1110.863,1413.442,1
0,5,h265,1,75,60,50,0.4999797,0.02285727,2.285727,555.4317,706.7209,1
0,5,h265,1,75,90,100,0.4999797,0.02285727,2.285727,1666.295,2120.163,1
0,5,h265,1,75,90,50,0.4999797,0.02285727,2.285727,833.1476,1060.081,1
0,5,h265,1,100,7,100,0.4999797,0.02285727,2.285727,172.8010,219.8687,1
0,5,h265,1,100,7,50,0.4999797,0.02285727,2.285727,86.40049,109.9344,1
0,5,h265,1,100,30,100,0.4999797,0.02285727,2.285727,740.5756,942.2945,1
0,5,h265,1,100,30,50,0.4999797,0.02285727,2.285727,370.2878,471.1472,1
0,5,h265,1,100,60,100,0.4999797,0.02285727,2.285727,1481.151,1884.589,1
0,5,h265,1,100,60,50,0.4999797,0.02285727,2.285727,740.5756,942.2945,1
0,5,h265,1,100,90,100,0.4999797,0.02285727,2.285727,2221.727,2826.883,1
0,5,h265,1,100,90,50,0.4999797,0.02285727,2.285727,1110.863,1413.442,1
0,5,h265,2,0,7,100,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,7,50,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,30,100,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,30,50,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,60,100,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,60,50,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,90,100,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,0,90,50,0.7499695,0.03428591,3.428591,0.000000,0.000000,1
0,5,h265,2,25,7,100,0.7499695,0.03428591,3.428591,64.80037,82.45077,1
0,5,h265,2,25,7,50,0.7499695,0.03428591,3.428591,32.40018,41.22538,1
0,5,h265,2,25,30,100,0.7499695,0.03428591,3.428591,277.7159,353.3604,1
0,5,h265,2,25,30,50,0.7499695,0.03428591,3.428591,138.8579,176.6802,1
0,5,h265,2,25,60,100,0.7499695,0.03428591,3.428591,555.4317,706.7209,1
0,5,h265,2,25,60,50,0.7499695,0.03428591,3.428591,277.7159,353.3604,1
0,5,h265,2,25,90,100,0.7499695,0.03428591,3.428591,833.1476,1060.081,1
0,5,h265,2,25,90,50,0.7499695,0.03428591,3.428591,416.5738,530.0407,1
0,5,h265,2,50,7,100,0.7499695,0.03428591,3.428591,129.6007,164.9015,1
0,5,h265,2,50,7,50,0.7499695,0.03428591,3.428591,64.80037,82.45077,1
0,5,h265,2,50,30,100,0.7499695,0.03428591,3.428591,555.4317,706.7209,1
0,5,h265,2,50,30,50,0.7499695,0.03428591,3.428591,277.7159,353.3604,1
0,5,h265,2,50,60,100,0.7499695,0.03428591,3.428591,1110.863,1413.442,1
0,5,h265,2,50,60,50,0.7499695,0.03428591,3.428591,555.4317,706.7209,1
0,5,h265,2,50,90,100,0.7499695,0.03428591,3.428591,1666.295,2120.163,1
0,5,h265,2,50,90,50,0.7499695,0.03428591,3.428591,833.1476,1060.081,1
0,5,h265,2,75,7,100,0.7499695,0.03428591,3.428591,194.4011,247.3523,1
0,5,h265,2,75,7,50,0.7499695,0.03428591,3.428591,97.20055,123.6762,1
0,5,h265,2,75,30,100,0.7499695,0.03428591,3.428591,833.1476,1060.081,1
0,5,h265,2,75,30,50,0.7499695,0.03428591,3.428591,416.5738,530.0407,1
0,5,h265,2,75,60,100,0.7499695,0.03428591,3.428591,1666.295,2120.163,1
0,5,h265,2,75,60,50,0.7499695,0.03428591,3.428591,833.1476,1060.081,1
0,5,h265,2,75,90,100,0.7499695,0.03428591,3.428591,2499.443,3180.244,1
0,5,h265,2,75,90,50,0.7499695,0.03428591,3.428591,1249.721,1590.122,1
0,5,h265,2,100,7,100,0.7499695,0.03428591,3.428591,259.2015,329.8031,1
0,5,h265,2,100,7,50,0.7499695,0.03428591,3.428591,129.6007,164.9015,1
0,5,h265,2,100,30,100,0.7499695,0.03428591,3.428591,1110.863,1413.442,1
0,5,h265,2,100,30,50,0.7499695,0.03428591,3.428591,555.4317,706.7209,1
0,5,h265,2,100,60,100,0.7499695,0.03428591,3.428591,2221.727,2826.883,1
0,5,h265,2,100,60,50,0.7499695,0.03428591,3.428591,1110.863,1413.442,1
0,5,h265,2,100,90,100,0.7499695,0.03428591,3.428591,3332.590,4240.325,1
0,5,h265,2,100,90,50,0.7499695,0.03428591,3.428591,1666.295,2120.163,1
0,5,h265,3,0,7,100,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,7,50,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,30,100,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,30,50,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,60,100,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,60,50,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,90,100,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,0,90,50,1.124954,0.05142886,5.142886,0.000000,0.000000,1
0,5,h265,3,25,7,100,1.124954,0.05142886,5.142886,97.20055,123.6762,1
0,5,h265,3,25,7,50,1.124954,0.05142886,5.142886,48.60028,61.83808,1
0,5,h265,3,25,30,100,1.124954,0.05142886,5.142886,416.5738,530.0407,1
0,5,h265,3,25,30,50,1.124954,0.05142886,5.142886,208.2869,265.0203,1
0,5,h265,3,25,60,100,1.124954,0.05142886,5.142886,833.1476,1060.081,1
0,5,h265,3,25,60,50,1.124954,0.05142886,5.142886,416.5738,530.0407,1
0,5,h265,3,25,90,100,1.124954,0.05142886,5.142886,1249.721,1590.122,1
0,5,h265,3,25,90,50,1.124954,0.05142886,5.142886,624.8607,795.0610,1
0,5,h265,3,50,7,100,1.124954,0.05142886,5.142886,194.4011,247.3523,1
